Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec
7733, 7920, 0.135, 0.125, 33384.000, 30487.277
7734, 7921, 0.291, 0.289, 35133.000, 34221.215
7802, 7923, 1.255, 1.251, 37386.000, 37149.461
7833, 7960, 7.198, 7.179, 27065.651, 26966.108
7835, 7963, 8.962, 8.940, 35079.000, 34291.596
7836, 7965, 0.000, 0.000, 0.000, 0.000
7848, 7966, 4.030, 4.019, 13650.562, 13558.389
7849, 7967, 2.257, 2.250, 24593.000, 16012.159
7918, 7969, 20.580, 20.508, 13897.000, 13305.914
7930, 7978, 44.580, 44.441, 40368.000, 40168.836
7961, 8007, 17.084, 17.031, 14915.000, 14593.848
7971, 8016, 2.056, 2.043, 882.867, 877.051
7984, 8016, 6.396, 6.362, 3601.015, 2792.461
7985, 8017, 32.575, 32.415, 26820.879, 26412.723
7987, 8018, 0.622, 0.619, 2929.216, 2856.616
7988, 8019, 0.664, 0.660, 2667.678, 2652.427
7989, 8019, 0.005, 0.005, 1433.966, 1373.962
7990, 8020, 0.642, 0.639, 7618.749, 7576.393
7998, 8023, 4.909, 4.887, 2451.711, 2440.811
8006, 8027, 71.052, 70.696, 23392.000, 23137.386
8023, 8030, 21.837, 21.680, 5345.000, 5044.411
8025, 8033, 127.928, 127.091, 30175.000, 29979.005
8034, 8043, 0.809, 0.802, 184.814, 183.198
8036, 8046, 5.354, 5.294, 1168.713, 1155.886
8037, 8046, 7.820, 7.760, 1730.592, 1717.263
8038, 8046, 9.040, 8.952, 1510.488, 1495.593
8039, 8046, 7.684, 7.611, 1309.434, 1297.110
8040, 8046, 7.707, 7.638, 1364.626, 1352.428
8041, 8046, 1.211, 1.193, 610.552, 224.985
8090, 8057, 2.189, 2.172, 516.803, 512.682
8094, 8058, 10.601, 10.539, 4358.000, 4193.558
8095, 8059, 56.528, 56.153, 13023.822, 12937.268
8096, 8059, 5.216, 5.175, 1203.845, 1194.455
8097, 8059, 5.123, 5.082, 1203.842, 1194.088
8098, 8059, 5.242, 5.201, 1203.820, 1194.475
8099, 8059, 3.490, 3.461, 1073.879, 819.770
8104, 8062, 0.456, 0.453, 96.640, 95.995
8105, 8062, 1.302, 1.281, 279.440, 274.889
8106, 8062, 1.466, 1.446, 441.546, 328.338
8108, 8063, 0.537, 0.532, 115.641, 114.582
8109, 8063, 1.336, 1.316, 284.403, 280.025
8110, 8063, 2.663, 2.632, 565.831, 559.361
8111, 8063, 2.830, 2.799, 555.755, 549.446
8112, 8063, 1.476, 1.455, 274.383, 270.484
8113, 8063, 1.496, 1.474, 269.337, 265.375
8114, 8063, 1.514, 1.492, 274.379, 270.273
8115, 8063, 179.526, 178.389, 42393.047, 42046.945
8119, 8067, 128.140, 127.131, 21212.000, 20912.468
8120, 8068, 85.482, 84.803, 14462.000, 14222.416
8124, 8072, 237.211, 235.543, 44172.744, 43841.173
8134, 8073, 100.482, 99.719, 16974.000, 16474.215
8137, 8076, 199.024, 197.293, 27879.000, 27393.394
8152, 8078, 49.458, 48.997, 7235.000, 7132.256
8153, 8079, 69.063, 68.406, 9469.000, 9183.330
8155, 8081, 221.775, 219.894, 31997.000, 31712.484
8157, 8083, 260.613, 258.393, 38342.000, 37361.845
8174, 8087, 23.418, 23.139, 2966.000, 2848.723
8175, 8088, 337.443, 333.949, 37937.000, 37412.979
8179, 8091, 59.481, 58.757, 5882.000, 5782.872
8182, 8094, 286.134, 283.228, 31738.000, 31280.419
8186, 8098, 16.030, 15.803, 1789.000, 1609.053
8187, 8099, 20.158, 19.884, 2285.555, 2077.213
8188, 8100, 27.362, 27.011, 2921.000, 2816.882
8190, 8102, 474.055, 468.839, 52896.000, 52267.028
8191, 8103, 203.333, 200.815, 19082.133, 18432.668
8193, 8106, 120.105, 118.592, 12314.000, 10366.169
8243, 8108, 0.259, 0.251, 130.000, 34.575
8247, 8111, 1.467, 1.444, 371.000, 196.478
8248, 8112, 451.172, 443.258, 40551.000, 39688.021
8250, 8113, 34.458, 33.887, 2965.246, 2916.564
8251, 8113, 29.489, 28.999, 2235.583, 2199.786
8252, 8114, 257.713, 254.477, 22174.815, 21505.745
8253, 8114, 0.000, 0.000, 13.269, 0.000
8266, 8115, 445.041, 439.584, 39109.404, 38614.311
8269, 8118, 432.775, 427.285, 37212.000, 36706.889
8290, 8120, 161.283, 159.407, 14551.185, 14231.952
8291, 8121, 33.281, 32.850, 3177.196, 2906.018
8294, 8124, 510.301, 504.354, 48268.000, 47676.937
8295, 8125, 3.074, 3.033, 588.000, 299.087
8297, 8128, 387.750, 382.701, 31213.069, 30615.545
8301, 8132, 112.001, 110.322, 8074.000, 7937.843
8320, 8136, 352.243, 348.740, 37938.115, 37255.417
8326, 8142, 147.438, 145.310, 10689.000, 10364.236
8327, 8143, 550.429, 544.285, 51714.000, 51030.134
8328, 8144, 20.301, 20.010, 1978.000, 1596.740
8330, 8146, 455.311, 449.640, 37189.000, 36627.668
8331, 8147, 243.409, 240.037, 17755.000, 17387.377
8332, 8148, 456.281, 450.672, 37455.944, 36914.653
8333, 8149, 530.508, 524.427, 46012.000, 45504.963
8334, 8149, 39.177, 38.870, 5403.979, 5234.925
8336, 8151, 539.491, 533.017, 44667.000, 44147.662
8651, 8177, 0.006, 0.005, 12053.000, 5259.758
8652, 8178, 0.141, 0.120, 206553.000, 152748.804
8655, 8181, 0.042, 0.041, 13160.000, 10432.878
8658, 8184, 0.000, 0.000, 853.000, 852.108
8713, 8210, 6.162, 6.146, 24698.000, 22050.445
8714, 8211, 8.272, 8.254, 9209.000, 9049.015
8715, 8212, 41.252, 41.084, 12504.000, 12275.747
8717, 8214, 52.473, 52.170, 9555.000, 9419.829
8725, 8216, 151.712, 150.890, 29486.424, 29329.968
8728, 8220, 433.995, 429.719, 45133.000, 44569.734
8729, 8221, 394.481, 391.047, 45903.000, 45520.723
8730, 8222, 240.661, 237.254, 16891.000, 16575.792
8731, 8223, 357.803, 353.337, 28233.000, 27748.772
8733, 8225, 491.840, 486.142, 43042.000, 42436.799
8734, 8226, 0.198, 0.198, 7856.000, 7841.800
8736, 8228, 421.483, 415.707, 30976.000, 30173.773
8749, 8230, 110.958, 108.937, 7161.418, 6412.398
8751, 8232, 0.285, 0.284, 11374.000, 11189.506
8752, 8233, 10.319, 10.289, 9368.000, 9341.206
8775, 8236, 521.051, 514.332, 42415.199, 41852.546
8777, 8238, 471.264, 465.225, 36842.366, 36209.365
8784, 8245, 600.365, 592.221, 44788.664, 44211.821
8798, 8247, 589.891, 582.105, 45407.773, 44573.076
8799, 8248, 284.694, 280.100, 17704.000, 17252.321
8804, 8253, 227.191, 223.372, 14235.000, 13867.801
8834, 8260, 650.672, 641.551, 46210.000, 45448.932
8837, 8263, 130.931, 128.743, 8339.000, 8118.753
8841, 8267, 114.438, 112.483, 7365.560, 6838.884
8843, 8269, 24.313, 23.932, 2020.000, 1871.424
8846, 8272, 38.965, 38.210, 2522.018, 2260.852
8847, 8273, 206.374, 203.048, 12999.070, 12347.952
8848, 8274, 734.140, 725.357, 61678.000, 60910.824
8850, 8276, 588.181, 580.196, 42995.000, 42303.759
8901, 8289, 0.946, 0.943, 796.000, 496.735
8904, 8293, 8.484, 8.455, 3823.000, 3708.139
8906, 8295, 571.510, 563.509, 39270.000, 38597.872
8908, 8297, 526.147, 518.677, 35220.631, 34416.176
8910, 8299, 2.977, 2.954, 1445.000, 1350.430
8912, 8301, 29.289, 29.193, 12034.000, 11855.504
8913, 8302, 674.413, 665.405, 48772.000, 48113.478
8915, 8304, 405.876, 399.396, 24143.000, 23691.709
8916, 8305, 653.161, 644.066, 44485.000, 43752.548
8917, 8306, 650.791, 642.076, 45841.916, 45235.917
8926, 8307, 32.278, 32.125, 7198.378, 7019.980
8928, 8309, 40.015, 39.839, 9792.000, 9749.053
8930, 8311, 641.610, 632.809, 43519.000, 42929.485
8932, 8312, 9.476, 9.405, 1444.000, 1313.421
8933, 8313, 77.064, 76.470, 9447.000, 9374.240
8934, 8314, 290.516, 286.418, 19655.000, 19379.807
8943, 8315, 810.236, 799.576, 58240.000, 57504.638
8944, 8316, 278.106, 273.581, 16384.000, 15984.216
8945, 8317, 687.980, 678.970, 48779.000, 48168.797
8947, 8319, 211.619, 208.070, 12247.000, 11916.077
8948, 8320, 369.367, 363.637, 22184.082, 21488.800
8949, 8321, 761.717, 751.466, 52430.000, 51744.605
8950, 8322, 416.291, 409.837, 24797.000, 24117.389
8952, 8324, 123.247, 121.192, 7334.000, 7002.329
8955, 8327, 392.613, 386.621, 23218.000, 22853.700
8969, 8330, 184.987, 182.032, 10772.000, 10538.550
8970, 8331, 593.950, 585.543, 38136.730, 37356.449
8972, 8333, 760.774, 750.623, 53222.000, 52542.696
8975, 8334, 258.335, 254.160, 15099.486, 14857.427
8977, 8335, 167.593, 164.095, 10802.125, 10571.602
8981, 8342, 566.175, 558.424, 36102.000, 35600.181
8985, 8345, 363.662, 358.174, 21318.000, 20747.553
8987, 8347, 491.921, 485.074, 30535.000, 30103.053
9048, 8379, 0.360, 0.359, 60144.000, 59909.483
9053, 8381, 1.124, 1.120, 84631.000, 75152.881
9056, 8383, 0.001, 0.001, 1377.930, 1371.776
9058, 8385, 449.851, 445.434, 43375.000, 42975.252
9060, 8387, 774.438, 764.809, 55032.000, 54386.656
9063, 8389, 196.454, 193.347, 11600.756, 11150.737
9066, 8392, 8.537, 8.392, 880.000, 506.063
9069, 8395, 716.524, 707.489, 49166.000, 48559.718
9072, 8398, 617.621, 609.467, 40727.000, 40071.261
9073, 8399, 472.315, 465.498, 28105.232, 27421.111
9092, 8401, 629.321, 620.830, 39210.000, 38679.346
9094, 8402, 492.648, 485.366, 28847.000, 28409.914
9148, 8456, 719.417, 708.761, 43150.000, 42185.131
9163, 8471, 71.205, 70.066, 4360.000, 4256.767
9166, 8474, 474.909, 467.829, 28962.000, 28535.544
9171, 8479, 0.183, 0.178, 7861.000, 7243.711
9176, 8484, 367.746, 362.428, 21674.534, 21133.390
9181, 8489, 789.149, 780.113, 57491.000, 56833.215
9183, 8491, 530.314, 523.145, 32214.000, 31769.009
9188, 8496, 402.884, 397.458, 24449.000, 24090.347
