Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec
10417, 8637, 0.265, 0.251, 24719.021, 22952.884
10419, 8639, 1.404, 1.396, 40404.000, 39831.238
10422, 8642, 10.797, 10.772, 31744.000, 31657.220
10424, 8644, 13.566, 13.530, 38172.000, 38036.525
10426, 8645, 13.961, 13.919, 38382.000, 38255.155
10443, 8654, 1.264, 1.261, 3836.000, 3466.814
10526, 8675, 46.355, 46.156, 19260.615, 19058.765
10538, 8685, 75.146, 74.830, 29394.000, 29230.627
10540, 8686, 2.897, 2.886, 1627.609, 1621.537
10555, 8686, 66.458, 66.125, 24873.682, 24709.117
10572, 8690, 1.659, 1.652, 904.042, 900.229
10600, 8690, 1.645, 1.630, 735.903, 687.312
10601, 8691, 42.050, 41.825, 13738.887, 13543.114
10602, 8692, 9.730, 9.310, 3455.151, 3321.373
10604, 8695, 179.080, 177.635, 28815.000, 28572.909
10605, 8696, 253.799, 251.952, 41335.000, 40999.886
10615, 8701, 203.269, 201.623, 28158.000, 27122.706
10693, 8723, 58.454, 58.124, 18957.000, 18827.482
10694, 8724, 86.212, 85.483, 11833.000, 11656.445
10695, 8725, 130.573, 129.464, 16865.000, 16681.212
10698, 8728, 117.637, 116.510, 14159.754, 13438.930
10699, 8729, 306.697, 304.002, 37540.000, 37084.108
10700, 8730, 314.948, 312.225, 40721.000, 40345.706
10701, 8731, 348.931, 344.248, 26806.092, 26285.727
10729, 8736, 330.520, 327.561, 43594.000, 43203.854
10732, 8738, 351.947, 348.237, 32277.000, 31909.250
10733, 8739, 334.037, 330.679, 34033.000, 33665.251
10738, 8741, 323.688, 319.958, 27513.367, 27059.184
10743, 8746, 479.919, 473.944, 36343.000, 35864.658
10747, 8750, 2.175, 1.477, 313.934, 148.457
10775, 8754, 694.263, 684.709, 48489.000, 47807.493
10792, 8771, 657.239, 647.979, 44364.000, 43733.566
10794, 8773, 694.776, 684.253, 44076.000, 43394.133
10796, 8775, 407.727, 400.808, 22906.000, 22454.385
10799, 8778, 0.547, 0.539, 22002.000, 20536.746
10829, 8782, 556.113, 547.454, 33541.000, 32991.401
10847, 8784, 312.733, 307.250, 17581.502, 17074.439
10849, 8786, 822.159, 810.435, 55911.000, 55123.956
10857, 8794, 215.907, 211.889, 12353.238, 11985.290
10859, 8796, 161.968, 159.055, 9703.000, 9345.355
10881, 8804, 295.370, 290.273, 16855.000, 16516.245
10884, 8807, 93.814, 92.194, 6129.000, 5950.645
10888, 8811, 53.539, 52.679, 4295.000, 3803.320
10921, 8816, 123.130, 120.810, 9875.424, 9541.045
10928, 8817, 749.182, 737.433, 45993.000, 45249.554
10955, 8821, 857.646, 844.024, 52274.000, 51429.071
10956, 8822, 740.817, 728.743, 43777.000, 42687.220
11038, 8850, 59.056, 58.294, 11954.000, 11758.534
11041, 8853, 100.137, 99.080, 12379.000, 12184.647
11068, 8858, 239.666, 236.586, 21550.000, 21234.576
11070, 8860, 418.005, 412.893, 36990.000, 36514.109
11079, 8863, 247.961, 244.278, 20166.000, 19568.349
11081, 8865, 421.547, 416.490, 38382.000, 37894.616
11082, 8866, 69.103, 67.912, 5640.000, 5399.031
11086, 8870, 477.926, 470.699, 37029.000, 36444.659
11088, 8872, 193.949, 189.623, 11152.000, 10875.082
11089, 8873, 679.921, 669.163, 45586.000, 44866.987
11093, 8877, 550.021, 540.567, 36358.338, 35649.431
11096, 8880, 818.152, 805.980, 57843.000, 57006.676
11098, 8882, 632.491, 621.984, 38504.000, 37731.366
11127, 8885, 644.234, 634.053, 40322.000, 39667.225
11156, 8891, 786.769, 771.449, 43157.966, 42281.276
11208, 8891, 304.470, 300.964, 25359.823, 25032.797
11211, 8894, 612.476, 602.104, 37474.479, 36391.218
11212, 8895, 560.713, 550.535, 31923.000, 31007.007
11213, 8898, 1184.073, 1151.634, 67296.345, 65573.516
11214, 8898, 0.000, 0.000, 0.000, 0.000
11243, 8901, 430.307, 422.423, 23742.000, 23250.505
11461, 8997, 0.123, 0.122, 24791.000, 18540.129
11463, 8999, 0.767, 0.765, 86636.000, 82253.018
11471, 9007, 15.840, 15.812, 32209.000, 28727.345
11478, 9014, 0.001, 0.001, 102.000, 62.556
11480, 9016, 0.215, 0.215, 8159.000, 8086.655
11486, 9017, 6.358, 6.336, 18324.640, 17832.041
11488, 9019, 98.571, 97.923, 22913.018, 22712.700
11491, 9022, 0.662, 0.658, 117.728, 116.976
11504, 9022, 147.866, 146.561, 15406.815, 15233.272
11506, 9023, 172.539, 170.288, 12958.000, 12385.113
11519, 9029, 545.930, 538.725, 47870.000, 47311.386
11523, 9031, 723.286, 713.114, 47931.000, 47259.017
11527, 9035, 682.366, 672.417, 43418.000, 42799.804
11528, 9036, 772.966, 760.813, 46637.000, 45856.258
11583, 9043, 845.412, 832.687, 52957.000, 52173.134
11584, 9044, 802.138, 789.676, 48954.000, 48199.487
11585, 9045, 774.175, 762.536, 48532.000, 47813.887
11586, 9046, 344.209, 337.792, 17943.000, 17341.519
11589, 9049, 567.025, 551.988, 30988.460, 30298.467
