Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec
14587, 9473, 0.228, 0.227, 20009.000, 19692.322
14588, 9474, 0.235, 0.234, 18108.000, 17755.664
14589, 9475, 1.397, 1.394, 25881.000, 25801.331
14590, 9476, 1.116, 1.113, 20258.117, 20013.312
14593, 9479, 13.113, 13.078, 27226.000, 26769.551
14597, 9483, 4.164, 4.153, 9155.000, 9099.399
14618, 9485, 11.361, 11.331, 24673.000, 24546.958
14644, 9496, 17.334, 17.248, 6697.000, 6608.950
14645, 9497, 19.143, 19.040, 7364.000, 6864.002
14647, 9499, 52.633, 52.356, 17822.000, 17516.308
14733, 9510, 5.559, 5.525, 2615.338, 2599.734
14743, 9512, 276.055, 273.706, 50059.630, 49648.134
14758, 9512, 28.516, 28.351, 10486.139, 10384.129
14760, 9514, 225.341, 223.238, 39429.000, 39029.700
14763, 9517, 50.908, 50.179, 6197.000, 5980.483
14764, 9518, 110.701, 109.044, 12181.000, 11940.822
14765, 9519, 39.120, 38.560, 4877.000, 4716.499
14766, 9520, 3.346, 3.313, 705.000, 558.676
14767, 9521, 54.986, 54.167, 6615.000, 6226.756
14769, 9523, 324.060, 319.778, 40291.000, 39779.699
14771, 9525, 175.253, 172.669, 18890.000, 18587.906
14777, 9530, 189.108, 184.279, 14064.000, 13673.840
14797, 9537, 394.468, 387.058, 29720.000, 29172.464
14799, 9539, 516.499, 507.759, 45371.000, 44643.319
14804, 9543, 458.595, 450.185, 34465.089, 33617.882
14809, 9548, 562.333, 551.701, 40501.000, 39738.176
14810, 9549, 65.036, 63.655, 4535.000, 4401.271
14904, 9559, 43.837, 39.386, 4992.509, 4543.704
14905, 9559, 32.395, 31.943, 3235.217, 3190.119
14906, 9559, 199.520, 197.082, 23020.212, 22525.541
14954, 9562, 240.954, 237.367, 21684.000, 21331.091
14971, 9564, 240.122, 235.477, 16263.000, 15904.513
14972, 9565, 416.717, 408.825, 28683.000, 28031.450
14973, 9566, 288.545, 282.015, 17058.000, 16638.665
