Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec
19093, 10589, 0.053, 0.049, 4196.000, 3599.640
19094, 10590, 2.356, 2.353, 32974.000, 32792.993
19095, 10591, 2.152, 2.150, 29320.000, 29257.738
19110, 10606, 1.291, 1.290, 20437.000, 20379.211
19116, 10611, 16.279, 16.253, 26878.000, 26796.846
19117, 10612, 3.917, 3.910, 6824.428, 6779.077
19146, 10612, 18.197, 18.166, 31598.621, 31527.046
19150, 10616, 18.389, 18.356, 30288.000, 30178.019
19186, 10623, 9.966, 9.923, 14677.621, 14445.708
19201, 10623, 59.010, 58.777, 17263.744, 17154.119
19205, 10626, 0.538, 0.533, 16062.000, 14988.290
19206, 10628, 4.178, 4.164, 1680.615, 1674.929
19221, 10628, 18.786, 18.699, 4939.515, 4829.858
19222, 10629, 83.009, 82.669, 22164.117, 22073.841
19223, 10629, 1.458, 1.444, 407.322, 403.681
19238, 10638, 2.439, 2.425, 525.031, 521.922
19268, 10638, 129.046, 128.296, 20587.597, 20432.175
19269, 10639, 208.553, 207.108, 31419.000, 31161.185
19270, 10640, 120.305, 105.294, 18920.573, 16754.719
19284, 10645, 361.756, 358.807, 40066.000, 39712.568
19286, 10647, 50.443, 50.015, 6461.000, 6168.536
19300, 10649, 572.533, 565.563, 43272.000, 42723.719
19301, 10650, 24.282, 24.034, 2758.000, 2687.862
19324, 10653, 88.751, 87.582, 6806.000, 6623.826
19327, 10656, 526.399, 519.936, 39020.000, 38553.211
19330, 10659, 440.103, 432.386, 23295.000, 22851.453
19334, 10663, 12.167, 12.010, 1229.000, 1172.575
19336, 10665, 829.592, 816.524, 48035.000, 47280.348
19337, 10666, 965.783, 951.458, 58797.000, 57959.255
19410, 10670, 64.495, 64.088, 9919.000, 9813.148
19411, 10671, 829.607, 816.430, 44425.000, 43729.101
19412, 10672, 870.463, 856.314, 49238.000, 48445.235
19413, 10673, 851.385, 837.672, 46791.000, 46014.866
19414, 10674, 464.514, 455.898, 22300.000, 21820.506
19415, 10675, 781.301, 769.157, 44846.000, 44177.296
19416, 10676, 1047.110, 1029.398, 54437.000, 53524.856
19417, 10677, 157.612, 154.711, 8264.000, 8039.194
19449, 10678, 81.532, 80.028, 4701.000, 4091.691
19477, 10683, 874.225, 858.929, 44181.000, 43356.349
19480, 10685, 904.296, 889.570, 47460.000, 46681.801
19483, 10689, 955.331, 939.285, 49440.000, 48604.070
19484, 10690, 890.779, 875.694, 44931.000, 44147.904
19486, 10691, 412.781, 404.939, 19708.000, 19205.329
19522, 10696, 117.318, 115.062, 5598.000, 5462.199
19523, 10701, 953.489, 936.139, 46621.138, 45717.201
19524, 10701, 413.880, 403.077, 19016.542, 18520.312
19525, 10701, 430.889, 424.533, 24485.882, 24136.456
19526, 10702, 324.199, 318.087, 15615.000, 15259.356
19528, 10704, 465.890, 457.129, 21942.000, 21422.242
19529, 10705, 431.491, 423.403, 20661.000, 20227.058
19589, 10709, 1392.808, 1374.079, 109916.000, 108702.493
19593, 10713, 721.152, 708.130, 34685.000, 33991.211
19597, 10717, 812.654, 798.329, 40155.000, 39418.774
19598, 10718, 637.093, 625.248, 29895.000, 29299.027
19601, 10721, 1016.449, 999.443, 53612.000, 52707.575
19611, 10731, 1006.206, 989.046, 51897.000, 50948.039
19612, 10732, 1159.968, 1141.345, 66491.000, 65453.376
19842, 10821, 0.111, 0.111, 17959.000, 17798.363
19845, 10824, 0.286, 0.285, 47731.000, 47105.217
19846, 10825, 0.041, 0.041, 3390.000, 3280.052
19847, 10826, 0.917, 0.911, 89414.000, 78186.968
19848, 10827, 0.501, 0.500, 42140.000, 41685.126
19852, 10831, 0.017, 0.014, 27128.000, 7738.776
19864, 10843, 0.021, 0.008, 19531.000, 6192.217
19866, 10845, 12.234, 12.211, 28395.000, 25964.641
19869, 10848, 1.852, 1.849, 3096.000, 2902.405
19871, 10850, 112.291, 111.815, 29920.000, 29749.533
19873, 10852, 386.565, 383.181, 40132.000, 39701.392
19875, 10854, 20.662, 20.368, 8870.000, 8674.651
19876, 10855, 407.270, 401.833, 27678.000, 27235.148
19878, 10857, 1069.493, 1051.579, 57337.000, 56381.460
19880, 10859, 674.817, 662.325, 32631.000, 31999.886
19883, 10862, 973.870, 957.233, 49701.000, 48857.027
19886, 10865, 333.987, 327.775, 16320.000, 15939.269
19887, 10866, 960.505, 943.698, 47289.000, 46472.914
19889, 10868, 761.149, 746.895, 35650.000, 34942.208
